"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 05 14:31:28 UTC 2026","Sun Jul 05 14:31:58 UTC 2026","30540","","tests.CatalogPageTests","","tests.CatalogPageTests","catalogOpensProductDetailsPage","catalogOpensProductDetailsPage()",""
"passed","Sun Jul 05 15:10:06 UTC 2026","Sun Jul 05 15:10:50 UTC 2026","44289","","tests.CheckoutTests","","tests.CheckoutTests","checkoutWithValidDataNavigatesToPaymentPage","checkoutWithValidDataNavigatesToPaymentPage()",""
"passed","Sun Jul 05 14:45:20 UTC 2026","Sun Jul 05 14:45:51 UTC 2026","31191","","tests.LoginTests","","tests.LoginTests","userCanLoginSuccessfullyWithValidCredentials","userCanLoginSuccessfullyWithValidCredentials()",""
"passed","Sun Jul 05 14:36:06 UTC 2026","Sun Jul 05 14:36:57 UTC 2026","51537","","tests.PaymentTests","","tests.PaymentTests","paymentAcceptsSomeNonEmptyValue","paymentAcceptsSomeNonEmptyValue(String, String) Field cardNumber accepts value: ""12345678901234567890""",""
"passed","Sun Jul 05 15:11:35 UTC 2026","Sun Jul 05 15:12:21 UTC 2026","45672","","tests.CheckoutTests","","tests.CheckoutTests","checkoutAcceptsAnyNonEmptyValue","checkoutAcceptsAnyNonEmptyValue(String, String) Field fullName accepts value: ""1""",""
"passed","Sun Jul 05 14:59:33 UTC 2026","Sun Jul 05 15:00:32 UTC 2026","58154","","tests.OrderCompletePageTests","","tests.OrderCompletePageTests","orderCompletePageDisplaysCorrectTexts","orderCompletePageDisplaysCorrectTexts()",""
"passed","Sun Jul 05 15:21:23 UTC 2026","Sun Jul 05 15:22:09 UTC 2026","45494","","tests.CheckoutTests","","tests.CheckoutTests","checkoutAcceptsAnyNonEmptyValue","checkoutAcceptsAnyNonEmptyValue(String, String) Field zipCode accepts value: ""@""",""
"passed","Sun Jul 05 14:44:43 UTC 2026","Sun Jul 05 14:45:33 UTC 2026","50306","","tests.PaymentTests","","tests.PaymentTests","paymentWithValidDataNavigatesToReviewOrder","paymentWithValidDataNavigatesToReviewOrder()",""
"passed","Sun Jul 05 15:04:07 UTC 2026","Sun Jul 05 15:05:06 UTC 2026","59013","","tests.LoggedInUserCartTests","","tests.LoggedInUserCartTests","loggedInUserCanAddMultipleProductsToCart","loggedInUserCanAddMultipleProductsToCart()",""
"passed","Sun Jul 05 15:09:32 UTC 2026","Sun Jul 05 15:10:06 UTC 2026","34022","","tests.CheckoutTests","","tests.CheckoutTests","checkoutShowsAllErrorMessagesWhenFieldsAreEmpty","checkoutShowsAllErrorMessagesWhenFieldsAreEmpty()",""
"failed","Sun Jul 05 15:26:25 UTC 2026","Sun Jul 05 15:27:21 UTC 2026","55956","","tests.PaymentBillingTests","","tests.PaymentBillingTests","paymentBillingAcceptsWeirdValues","paymentBillingAcceptsWeirdValues(String, String) Billing field zipCode accepts value: ""a-b--1 @#$%^&*()!  O""",""
"passed","Sun Jul 05 15:16:52 UTC 2026","Sun Jul 05 15:17:37 UTC 2026","44955","","tests.CheckoutTests","","tests.CheckoutTests","checkoutAcceptsAnyNonEmptyValue","checkoutAcceptsAnyNonEmptyValue(String, String) Field city accepts value: ""a""",""
"passed","Sun Jul 05 14:30:20 UTC 2026","Sun Jul 05 14:31:13 UTC 2026","53117","","tests.GuestCartTests","","tests.GuestCartTests","guestCanIncreaseQuantityFromProductDetailsPage","guestCanIncreaseQuantityFromProductDetailsPage()",""
"failed","Sun Jul 05 15:35:49 UTC 2026","Sun Jul 05 15:36:46 UTC 2026","57011","","tests.PaymentBillingTests","","tests.PaymentBillingTests","paymentBillingShowsErrorForMissingMandatoryField","paymentBillingShowsErrorForMissingMandatoryField(String, String) Billing missing field: country",""
"failed","Sun Jul 05 15:13:09 UTC 2026","Sun Jul 05 15:14:06 UTC 2026","56136","","tests.PaymentBillingTests","","tests.PaymentBillingTests","paymentBillingAcceptsWeirdValues","paymentBillingAcceptsWeirdValues(String, String) Billing field fullName accepts value: ""1""",""
"passed","Sun Jul 05 14:39:32 UTC 2026","Sun Jul 05 14:40:23 UTC 2026","50682","","tests.PaymentTests","","tests.PaymentTests","paymentAcceptsSomeNonEmptyValue","paymentAcceptsSomeNonEmptyValue(String, String) Field expirationDate accepts value: ""12/ab""",""
"passed","Sun Jul 05 14:37:49 UTC 2026","Sun Jul 05 14:38:41 UTC 2026","51716","","tests.PaymentTests","","tests.PaymentTests","paymentAcceptsSomeNonEmptyValue","paymentAcceptsSomeNonEmptyValue(String, String) Field expirationDate accepts value: ""a@ 1.com-&*!?  B""",""
"passed","Sun Jul 05 15:05:51 UTC 2026","Sun Jul 05 15:06:29 UTC 2026","37630","","tests.LoggedInUserCartTests","","tests.LoggedInUserCartTests","loggedInUserCartPersistsAcrossPages","loggedInUserCartPersistsAcrossPages()",""
"passed","Sun Jul 05 14:53:21 UTC 2026","Sun Jul 05 14:53:48 UTC 2026","27182","","tests.ProductDetailsPageTests","","tests.ProductDetailsPageTests","productDetailsQuantityCanDecrease","productDetailsQuantityCanDecrease()",""
